WELL_ID,Count,x,y,layer,column1,column2,row1,row2,nInterp,localx,localy,Row,Column,nInterp,ibound1,ibound2,ibound3,ibound4,Column1,Column2,Column3,Column4,Row1,Row2,Row3,Row4,Weight1,Weight2,Weight3,Weight4,Node,Node1,Node2,Node3,Node4
ISC_B,130,554350.791,3607919.346,3,220,221,667,668,4,44287.79099999997,19995.345999999903,667,221,4,1,1,1,1,220,221,220,221,667,667,668,668,0.310767793104358,0.5854880726391763,0.03597224507273656,0.06777188918372921,197357,197356,197357,197652,197653
ISC_C,143,554329.565,3606302.911,3,220,221,675,676,4,44266.564999999944,18378.910999999847,675,221,4,1,1,1,1,220,221,220,221,675,675,676,676,0.3893935936488403,0.4716131271012353,0.06286024393980909,0.07613303531011528,199725,199724,199725,200020,200021
ISC_E,152,557154.3426,3610075.713,3,234,235,656,657,4,47091.342599999974,22151.71299999999,656,235,4,1,1,1,1,234,235,234,235,656,656,657,657,0.2525791197141542,0.3629114155596627,0.15779131693567638,0.2267181477905067,194115,194114,194115,194410,194411
ISC_G,60,553490.4234,3605279.59,3,216,217,680,681,4,43427.42339999997,17355.58999999985,680,216,4,1,1,1,1,216,217,216,217,680,680,681,681,0.4827354035950477,0.2913737986630657,0.14086576557706068,0.08502503216482579,201200,201200,201201,201496,201497
ISC_H,123,552763.7415,3604612.793,3,212,213,683,684,4,42700.741500000004,16688.793000000063,684,213,4,1,1,1,1,212,213,212,213,683,683,684,684,0.10839849682389835,0.35108313047307876,0.12751626099042676,0.41300211171259615,202381,202084,202085,202380,202381
ISC_I,116,552757.4636,3605978.531,3,212,213,676,677,4,42694.46360000002,18054.53099999996,677,213,4,1,1,1,1,212,213,212,213,676,676,677,677,0.06638612882647738,0.18213749322059256,0.20073587864975342,0.5507404993031766,200309,200012,200013,200308,200309
ISC_J,62,551927.894,3606507.409,3,208,209,674,675,4,41864.89399999997,18583.408999999985,674,209,4,1,1,1,1,208,209,208,209,674,674,675,675,0.34302700686801013,0.5345330424439323,0.04786021177527588,0.07457973891278158,199417,199416,199417,199712,199713
ISC_K,148,552163.049,3607301.272,3,209,210,670,671,4,42100.049,19377.27199999988,670,210,4,1,1,1,1,209,210,209,210,670,670,671,671,0.1828396474616252,0.640989192114624,0.03909922949693332,0.13707193092681758,198234,198233,198234,198529,198530
ISC_L,36,551633.3041,3605402.845,3,207,208,679,680,4,41570.30409999995,17478.845000000205,680,207,4,1,1,1,1,207,208,207,208,679,679,680,680,0.33082927461017797,0.055976778043393925,0.5244553631058523,0.08873858424057579,201191,200895,200896,201191,201192
ISC_Q,135,557096.7289,3608996.719,3,234,235,661,662,4,47033.72889999999,21072.71900000004,662,234,4,1,1,1,1,234,235,234,235,661,661,662,662,0.17547659333784013,0.0763676363608338,0.521289790977552,0.22686597932377406,195890,195594,195595,195890,195891
NA2,132,557982.5401,3608938.887,3,238,239,662,663,4,47919.540099999984,21014.887000000104,662,239,4,1,1,1,1,238,239,238,239,662,662,663,663,0.28296910927482893,0.6813940101084021,0.01045678351108032,0.02518009710568872,195895,195894,195895,196190,196191
